period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-12-01 00:00:00,NY,New York,WAT,Hydro,3590,megawatthours
2024-11-30 23:00:00,NY,New York,WAT,Hydro,3630,megawatthours
2024-11-30 22:00:00,NY,New York,WAT,Hydro,3591,megawatthours
2024-11-30 21:00:00,NY,New York,WAT,Hydro,3387,megawatthours
2024-11-30 20:00:00,NY,New York,WAT,Hydro,2972,megawatthours
2024-11-30 19:00:00,NY,New York,WAT,Hydro,2995,megawatthours
2024-11-30 18:00:00,NY,New York,WAT,Hydro,3148,megawatthours
2024-11-30 17:00:00,NY,New York,WAT,Hydro,3197,megawatthours
2024-11-30 16:00:00,NY,New York,WAT,Hydro,2927,megawatthours
2024-11-30 15:00:00,NY,New York,WAT,Hydro,2582,megawatthours
2024-11-30 14:00:00,NY,New York,WAT,Hydro,2568,megawatthours
2024-11-30 13:00:00,NY,New York,WAT,Hydro,2744,megawatthours
2024-11-30 12:00:00,NY,New York,WAT,Hydro,2375,megawatthours
2024-11-30 11:00:00,NY,New York,WAT,Hydro,2064,megawatthours
2024-11-30 10:00:00,NY,New York,WAT,Hydro,2025,megawatthours
2024-11-30 09:00:00,NY,New York,WAT,Hydro,2052,megawatthours
2024-11-30 08:00:00,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-30 07:00:00,NY,New York,WAT,Hydro,2058,megawatthours
2024-11-30 06:00:00,NY,New York,WAT,Hydro,2103,megawatthours
2024-11-30 05:00:00,NY,New York,WAT,Hydro,2402,megawatthours
2024-11-30 04:00:00,NY,New York,WAT,Hydro,2976,megawatthours
2024-11-30 03:00:00,NY,New York,WAT,Hydro,3318,megawatthours
2024-11-30 02:00:00,NY,New York,WAT,Hydro,3353,megawatthours
2024-11-30 01:00:00,NY,New York,WAT,Hydro,3519,megawatthours
2024-11-30 00:00:00,NY,New York,WAT,Hydro,3533,megawatthours
2024-11-29 23:00:00,NY,New York,WAT,Hydro,3613,megawatthours
2024-11-29 22:00:00,NY,New York,WAT,Hydro,3625,megawatthours
2024-11-29 21:00:00,NY,New York,WAT,Hydro,3435,megawatthours
2024-11-29 20:00:00,NY,New York,WAT,Hydro,3127,megawatthours
2024-11-29 19:00:00,NY,New York,WAT,Hydro,3310,megawatthours
2024-11-29 18:00:00,NY,New York,WAT,Hydro,3242,megawatthours
2024-11-29 17:00:00,NY,New York,WAT,Hydro,3345,megawatthours
2024-11-29 16:00:00,NY,New York,WAT,Hydro,3219,megawatthours
2024-11-29 15:00:00,NY,New York,WAT,Hydro,2952,megawatthours
2024-11-29 14:00:00,NY,New York,WAT,Hydro,2911,megawatthours
2024-11-29 13:00:00,NY,New York,WAT,Hydro,2902,megawatthours
2024-11-29 12:00:00,NY,New York,WAT,Hydro,2451,megawatthours
2024-11-29 11:00:00,NY,New York,WAT,Hydro,2231,megawatthours
2024-11-29 10:00:00,NY,New York,WAT,Hydro,2149,megawatthours
2024-11-29 09:00:00,NY,New York,WAT,Hydro,2145,megawatthours
2024-11-29 08:00:00,NY,New York,WAT,Hydro,2170,megawatthours
2024-11-29 07:00:00,NY,New York,WAT,Hydro,2153,megawatthours
2024-11-29 06:00:00,NY,New York,WAT,Hydro,2209,megawatthours
2024-11-29 05:00:00,NY,New York,WAT,Hydro,2367,megawatthours
2024-11-29 04:00:00,NY,New York,WAT,Hydro,2941,megawatthours
2024-11-29 03:00:00,NY,New York,WAT,Hydro,3139,megawatthours
2024-11-29 02:00:00,NY,New York,WAT,Hydro,3259,megawatthours
2024-11-29 01:00:00,NY,New York,WAT,Hydro,3266,megawatthours
2024-11-29 00:00:00,NY,New York,WAT,Hydro,3156,megawatthours
2024-11-28 23:00:00,NY,New York,WAT,Hydro,3286,megawatthours
2024-11-28 22:00:00,NY,New York,WAT,Hydro,3149,megawatthours
2024-11-28 21:00:00,NY,New York,WAT,Hydro,3316,megawatthours
2024-11-28 20:00:00,NY,New York,WAT,Hydro,3199,megawatthours
2024-11-28 19:00:00,NY,New York,WAT,Hydro,3350,megawatthours
2024-11-28 18:00:00,NY,New York,WAT,Hydro,3468,megawatthours
2024-11-28 17:00:00,NY,New York,WAT,Hydro,3559,megawatthours
2024-11-28 16:00:00,NY,New York,WAT,Hydro,3490,megawatthours
2024-11-28 15:00:00,NY,New York,WAT,Hydro,3377,megawatthours
2024-11-28 14:00:00,NY,New York,WAT,Hydro,3236,megawatthours
2024-11-28 13:00:00,NY,New York,WAT,Hydro,2977,megawatthours
2024-11-28 12:00:00,NY,New York,WAT,Hydro,2418,megawatthours
2024-11-28 11:00:00,NY,New York,WAT,Hydro,2084,megawatthours
2024-11-28 10:00:00,NY,New York,WAT,Hydro,2163,megawatthours
2024-11-28 09:00:00,NY,New York,WAT,Hydro,2022,megawatthours
2024-11-28 08:00:00,NY,New York,WAT,Hydro,2123,megawatthours
2024-11-28 07:00:00,NY,New York,WAT,Hydro,2190,megawatthours
2024-11-28 06:00:00,NY,New York,WAT,Hydro,2305,megawatthours
2024-11-28 05:00:00,NY,New York,WAT,Hydro,2333,megawatthours
2024-11-28 04:00:00,NY,New York,WAT,Hydro,2978,megawatthours
2024-11-28 03:00:00,NY,New York,WAT,Hydro,3419,megawatthours
2024-11-28 02:00:00,NY,New York,WAT,Hydro,3438,megawatthours
2024-11-28 01:00:00,NY,New York,WAT,Hydro,3403,megawatthours
2024-11-28 00:00:00,NY,New York,WAT,Hydro,3703,megawatthours
2024-11-27 23:00:00,NY,New York,WAT,Hydro,3893,megawatthours
2024-11-27 22:00:00,NY,New York,WAT,Hydro,3801,megawatthours
2024-11-27 21:00:00,NY,New York,WAT,Hydro,3538,megawatthours
2024-11-27 20:00:00,NY,New York,WAT,Hydro,3276,megawatthours
2024-11-27 19:00:00,NY,New York,WAT,Hydro,3152,megawatthours
2024-11-27 18:00:00,NY,New York,WAT,Hydro,3158,megawatthours
2024-11-27 17:00:00,NY,New York,WAT,Hydro,3244,megawatthours
2024-11-27 16:00:00,NY,New York,WAT,Hydro,3188,megawatthours
2024-11-27 15:00:00,NY,New York,WAT,Hydro,3172,megawatthours
2024-11-27 14:00:00,NY,New York,WAT,Hydro,3231,megawatthours
2024-11-27 13:00:00,NY,New York,WAT,Hydro,3247,megawatthours
2024-11-27 12:00:00,NY,New York,WAT,Hydro,2807,megawatthours
2024-11-27 11:00:00,NY,New York,WAT,Hydro,2309,megawatthours
2024-11-27 10:00:00,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27 09:00:00,NY,New York,WAT,Hydro,2136,megawatthours
2024-11-27 08:00:00,NY,New York,WAT,Hydro,2127,megawatthours
2024-11-27 07:00:00,NY,New York,WAT,Hydro,1934,megawatthours
2024-11-27 06:00:00,NY,New York,WAT,Hydro,2183,megawatthours
2024-11-27 05:00:00,NY,New York,WAT,Hydro,2303,megawatthours
2024-11-27 04:00:00,NY,New York,WAT,Hydro,2852,megawatthours
2024-11-27 03:00:00,NY,New York,WAT,Hydro,3311,megawatthours
2024-11-27 02:00:00,NY,New York,WAT,Hydro,3399,megawatthours
2024-11-27 01:00:00,NY,New York,WAT,Hydro,3369,megawatthours
2024-11-27 00:00:00,NY,New York,WAT,Hydro,3509,megawatthours
2024-11-26 23:00:00,NY,New York,WAT,Hydro,3597,megawatthours
2024-11-26 22:00:00,NY,New York,WAT,Hydro,3436,megawatthours
2024-11-26 21:00:00,NY,New York,WAT,Hydro,3314,megawatthours
2024-11-26 20:00:00,NY,New York,WAT,Hydro,3284,megawatthours
2024-11-26 19:00:00,NY,New York,WAT,Hydro,3150,megawatthours
2024-11-26 18:00:00,NY,New York,WAT,Hydro,3051,megawatthours
2024-11-26 17:00:00,NY,New York,WAT,Hydro,3197,megawatthours
2024-11-26 16:00:00,NY,New York,WAT,Hydro,3298,megawatthours
2024-11-26 15:00:00,NY,New York,WAT,Hydro,3346,megawatthours
2024-11-26 14:00:00,NY,New York,WAT,Hydro,3406,megawatthours
2024-11-26 13:00:00,NY,New York,WAT,Hydro,3211,megawatthours
2024-11-26 12:00:00,NY,New York,WAT,Hydro,2457,megawatthours
2024-11-26 11:00:00,NY,New York,WAT,Hydro,2008,megawatthours
2024-11-26 10:00:00,NY,New York,WAT,Hydro,1838,megawatthours
2024-11-26 09:00:00,NY,New York,WAT,Hydro,1878,megawatthours
2024-11-26 08:00:00,NY,New York,WAT,Hydro,1852,megawatthours
2024-11-26 07:00:00,NY,New York,WAT,Hydro,1969,megawatthours
2024-11-26 06:00:00,NY,New York,WAT,Hydro,2096,megawatthours
