period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-12-01T00,NY,New York,WAT,Hydro,3590,megawatthours
2024-11-30T23,NY,New York,WAT,Hydro,3630,megawatthours
2024-11-30T22,NY,New York,WAT,Hydro,3591,megawatthours
2024-11-30T21,NY,New York,WAT,Hydro,3387,megawatthours
2024-11-30T20,NY,New York,WAT,Hydro,2972,megawatthours
2024-11-30T19,NY,New York,WAT,Hydro,2995,megawatthours
2024-11-30T18,NY,New York,WAT,Hydro,3148,megawatthours
2024-11-30T17,NY,New York,WAT,Hydro,3197,megawatthours
2024-11-30T16,NY,New York,WAT,Hydro,2927,megawatthours
2024-11-30T15,NY,New York,WAT,Hydro,2582,megawatthours
2024-11-30T14,NY,New York,WAT,Hydro,2568,megawatthours
2024-11-30T13,NY,New York,WAT,Hydro,2744,megawatthours
2024-11-30T12,NY,New York,WAT,Hydro,2375,megawatthours
2024-11-30T11,NY,New York,WAT,Hydro,2064,megawatthours
2024-11-30T10,NY,New York,WAT,Hydro,2025,megawatthours
2024-11-30T09,NY,New York,WAT,Hydro,2052,megawatthours
2024-11-30T08,NY,New York,WAT,Hydro,2082,megawatthours
2024-11-30T07,NY,New York,WAT,Hydro,2058,megawatthours
2024-11-30T06,NY,New York,WAT,Hydro,2103,megawatthours
2024-11-30T05,NY,New York,WAT,Hydro,2402,megawatthours
2024-11-30T04,NY,New York,WAT,Hydro,2976,megawatthours
2024-11-30T03,NY,New York,WAT,Hydro,3318,megawatthours
2024-11-30T02,NY,New York,WAT,Hydro,3353,megawatthours
2024-11-30T01,NY,New York,WAT,Hydro,3519,megawatthours
2024-11-30T00,NY,New York,WAT,Hydro,3533,megawatthours
2024-11-29T23,NY,New York,WAT,Hydro,3613,megawatthours
2024-11-29T22,NY,New York,WAT,Hydro,3625,megawatthours
2024-11-29T21,NY,New York,WAT,Hydro,3435,megawatthours
2024-11-29T20,NY,New York,WAT,Hydro,3127,megawatthours
2024-11-29T19,NY,New York,WAT,Hydro,3310,megawatthours
2024-11-29T18,NY,New York,WAT,Hydro,3242,megawatthours
2024-11-29T17,NY,New York,WAT,Hydro,3345,megawatthours
2024-11-29T16,NY,New York,WAT,Hydro,3219,megawatthours
