period,value
2024-12-01T00,3590
2024-11-30T23,3630
2024-11-30T22,3591
2024-11-30T21,3387
2024-11-30T20,2972
2024-11-30T19,2995
2024-11-30T18,3148
2024-11-30T17,3197
2024-11-30T16,2927
2024-11-30T15,2582
2024-11-30T14,2568
2024-11-30T13,2744
2024-11-30T12,2375
2024-11-30T11,2064
2024-11-30T10,2025
2024-11-30T09,2052
2024-11-30T08,2082
2024-11-30T07,2058
2024-11-30T06,2103
2024-11-30T05,2402
2024-11-30T04,2976
2024-11-30T03,3318
2024-11-30T02,3353
2024-11-30T01,3519
2024-11-30T00,3533
2024-11-29T23,3613
2024-11-29T22,3625
2024-11-29T21,3435
2024-11-29T20,3127
2024-11-29T19,3310
2024-11-29T18,3242
2024-11-29T17,3345
2024-11-29T16,3219
2024-11-29T15,2952
2024-11-29T14,2911
2024-11-29T13,2902
2024-11-29T12,2451
2024-11-29T11,2231
2024-11-29T10,2149
2024-11-29T09,2145
2024-11-29T08,2170
2024-11-29T07,2153
2024-11-29T06,2209
2024-11-29T05,2367
2024-11-29T04,2941
2024-11-29T03,3139
2024-11-29T02,3259
2024-11-29T01,3266
2024-11-29T00,3156
2024-11-28T23,3286
2024-11-28T22,3149
2024-11-28T21,3316
2024-11-28T20,3199
2024-11-28T19,3350
2024-11-28T18,3468
2024-11-28T17,3559
2024-11-28T16,3490
2024-11-28T15,3377
2024-11-28T14,3236
2024-11-28T13,2977
2024-11-28T12,2418
2024-11-28T11,2084
2024-11-28T10,2163
2024-11-28T09,2022
2024-11-28T08,2123
2024-11-28T07,2190
2024-11-28T06,2305
2024-11-28T05,2333
2024-11-28T04,2978
2024-11-28T03,3419
2024-11-28T02,3438
2024-11-28T01,3403
2024-11-28T00,3703
2024-11-27T23,3893
2024-11-27T22,3801
2024-11-27T21,3538
2024-11-27T20,3276
2024-11-27T19,3152
2024-11-27T18,3158
2024-11-27T17,3244
2024-11-27T16,3188
2024-11-27T15,3172
2024-11-27T14,3231
2024-11-27T13,3247
2024-11-27T12,2807
2024-11-27T11,2309
2024-11-27T10,2183
2024-11-27T09,2136
2024-11-27T08,2127
2024-11-27T07,1934
2024-11-27T06,2183
2024-11-27T05,2303
2024-11-27T04,2852
2024-11-27T03,3311
2024-11-27T02,3399
2024-11-27T01,3369
2024-11-27T00,3509
2024-11-26T23,3597
2024-11-26T22,3436
2024-11-26T21,3314
2024-11-26T20,3284
2024-11-26T19,3150
2024-11-26T18,3051
2024-11-26T17,3197
2024-11-26T16,3298
2024-11-26T15,3346
2024-11-26T14,3406
2024-11-26T13,3211
2024-11-26T12,2457
2024-11-26T11,2008
2024-11-26T10,1838
2024-11-26T09,1878
2024-11-26T08,1852
2024-11-26T07,1969
2024-11-26T06,2096
2024-11-26T05,2136
2024-11-26T04,2796
2024-11-26T03,3063
2024-11-26T02,3219
2024-11-26T01,3245
2024-11-26T00,3544
2024-11-25T23,3660
2024-11-25T22,3338
2024-11-25T21,3222
2024-11-25T20,3153
2024-11-25T19,2999
2024-11-25T18,2924
2024-11-25T17,2917
2024-11-25T16,2931
2024-11-25T15,2987
2024-11-25T14,3123
2024-11-25T13,3490
2024-11-25T12,3147
2024-11-25T11,2341
2024-11-25T10,2082
2024-11-25T09,2092
2024-11-25T08,2097
2024-11-25T07,2082
2024-11-25T06,2141
2024-11-25T05,2242
2024-11-25T04,2772
2024-11-25T03,3379
2024-11-25T02,3405
2024-11-25T01,3494
2024-11-25T00,3528
2024-11-24T23,3487
2024-11-24T22,3323
2024-11-24T21,3348
2024-11-24T20,3258
2024-11-24T19,3256
2024-11-24T18,3154
2024-11-24T17,3152
2024-11-24T16,3135
2024-11-24T15,3203
2024-11-24T14,2979
2024-11-24T13,2763
2024-11-24T12,2225
2024-11-24T11,2318
2024-11-24T10,2133
2024-11-24T09,2085
2024-11-24T08,2027
2024-11-24T07,1957
2024-11-24T06,1951
2024-11-24T05,2200
2024-11-24T04,2614
2024-11-24T03,2734
2024-11-24T02,2329
2024-11-24T01,2948
2024-11-24T00,3202
2024-11-23T23,3376
2024-11-23T22,3024
2024-11-23T21,3012
2024-11-23T20,3008
2024-11-23T19,2993
2024-11-23T18,3099
2024-11-23T17,3047
2024-11-23T16,3059
2024-11-23T15,3119
2024-11-23T14,3012
2024-11-23T13,2801
2024-11-23T12,2321
2024-11-23T11,2142
2024-11-23T10,2020
2024-11-23T09,1987
2024-11-23T08,2035
2024-11-23T07,2021
2024-11-23T06,2106
2024-11-23T05,2260
2024-11-23T04,2766
2024-11-23T03,3116
2024-11-23T02,3206
2024-11-23T01,3455
2024-11-23T00,3590
2024-11-22T23,3791
2024-11-22T22,3478
2024-11-22T21,3303
2024-11-22T20,3234
2024-11-22T19,3148
2024-11-22T18,3112
2024-11-22T17,3121
2024-11-22T16,3162
2024-11-22T15,3050
2024-11-22T14,3045
2024-11-22T13,3040
2024-11-22T12,2446
2024-11-22T11,2054
2024-11-22T10,1875
2024-11-22T09,1887
2024-11-22T08,1885
2024-11-22T07,1859
2024-11-22T06,1978
2024-11-22T05,2159
2024-11-22T04,2742
2024-11-22T03,3080
2024-11-22T02,3306
2024-11-22T01,3408
2024-11-22T00,3473
2024-11-21T23,3615
2024-11-21T22,3371
2024-11-21T21,3154
2024-11-21T20,3290
2024-11-21T19,3110
2024-11-21T18,3122
2024-11-21T17,3087
2024-11-21T16,3050
2024-11-21T15,2968
2024-11-21T14,3010
2024-11-21T13,3062
2024-11-21T12,2539
2024-11-21T11,2112
2024-11-21T10,2163
2024-11-21T09,2079
2024-11-21T08,2064
2024-11-21T07,2120
2024-11-21T06,2034
2024-11-21T05,2001
2024-11-21T04,2425
2024-11-21T03,2745
2024-11-21T02,2734
2024-11-21T01,3064
2024-11-21T00,3165
2024-11-20T23,3194
2024-11-20T22,3138
2024-11-20T21,2998
2024-11-20T20,3003
2024-11-20T19,2908
2024-11-20T18,2892
2024-11-20T17,2875
2024-11-20T16,2911
2024-11-20T15,3060
2024-11-20T14,3128
2024-11-20T13,3127
2024-11-20T12,2343
2024-11-20T11,1954
2024-11-20T10,1725
2024-11-20T09,1696
2024-11-20T08,1636
2024-11-20T07,1717
2024-11-20T06,1776
2024-11-20T05,1969
