period,value
2024-11-01T00,3094
2024-10-31T23,3233
2024-10-31T22,3235
2024-10-31T21,3045
2024-10-31T20,2985
2024-10-31T19,2886
2024-10-31T18,2911
2024-10-31T17,2979
2024-10-31T16,2892
2024-10-31T15,2862
2024-10-31T14,2870
2024-10-31T13,2956
2024-10-31T12,2685
2024-10-31T11,2181
2024-10-31T10,1927
2024-10-31T09,1853
2024-10-31T08,1893
2024-10-31T07,1902
2024-10-31T06,1926
2024-10-31T05,1931
2024-10-31T04,1898
2024-10-31T03,2102
2024-10-31T02,2336
2024-10-31T01,2593
2024-10-31T00,2805
2024-10-30T23,3143
2024-10-30T22,3099
2024-10-30T21,2699
2024-10-30T20,2602
2024-10-30T19,2436
2024-10-30T18,2485
2024-10-30T17,2313
2024-10-30T16,2480
2024-10-30T15,2299
2024-10-30T14,2380
2024-10-30T13,2385
2024-10-30T12,2694
2024-10-30T11,1990
2024-10-30T10,1951
2024-10-30T09,1744
2024-10-30T08,1798
2024-10-30T07,1717
2024-10-30T06,1762
2024-10-30T05,1780
2024-10-30T04,1919
2024-10-30T03,2054
2024-10-30T02,2212
2024-10-30T01,2279
2024-10-30T00,2718
2024-10-29T23,3240
2024-10-29T22,3215
2024-10-29T21,2479
2024-10-29T20,2315
2024-10-29T19,2652
2024-10-29T18,2767
2024-10-29T17,2823
2024-10-29T16,2576
2024-10-29T15,2194
2024-10-29T14,2182
2024-10-29T13,2211
2024-10-29T12,2757
2024-10-29T11,2261
2024-10-29T10,2017
2024-10-29T09,1838
2024-10-29T08,1779
2024-10-29T07,1782
2024-10-29T06,1798
2024-10-29T05,1796
2024-10-29T04,2061
2024-10-29T03,2424
2024-10-29T02,2676
2024-10-29T01,2911
2024-10-29T00,3273
2024-10-28T23,3291
2024-10-28T22,3443
2024-10-28T21,2788
2024-10-28T20,2493
2024-10-28T19,2445
2024-10-28T18,2400
2024-10-28T17,2378
2024-10-28T16,2322
2024-10-28T15,2466
2024-10-28T14,2671
2024-10-28T13,3033
2024-10-28T12,2979
2024-10-28T11,2416
2024-10-28T10,1949
2024-10-28T09,1884
2024-10-28T08,1743
2024-10-28T07,1770
2024-10-28T06,1735
2024-10-28T05,1800
2024-10-28T04,1952
2024-10-28T03,2618
2024-10-28T02,2972
2024-10-28T01,3214
2024-10-28T00,3475
2024-10-27T23,3661
2024-10-27T22,3292
2024-10-27T21,2801
2024-10-27T20,2527
2024-10-27T19,2532
2024-10-27T18,2370
2024-10-27T17,2214
2024-10-27T16,2197
2024-10-27T15,2221
2024-10-27T14,2318
2024-10-27T13,2492
2024-10-27T12,2575
2024-10-27T11,2096
2024-10-27T10,1867
2024-10-27T09,1794
2024-10-27T08,1793
2024-10-27T07,1787
2024-10-27T06,1838
2024-10-27T05,1882
2024-10-27T04,1903
2024-10-27T03,2377
2024-10-27T02,2649
2024-10-27T01,2963
2024-10-27T00,3076
2024-10-26T23,3098
2024-10-26T22,2754
2024-10-26T21,2570
2024-10-26T20,2410
2024-10-26T19,2324
2024-10-26T18,2265
2024-10-26T17,2197
2024-10-26T16,2134
2024-10-26T15,2178
2024-10-26T14,2122
2024-10-26T13,2383
2024-10-26T12,2475
2024-10-26T11,2122
2024-10-26T10,1866
2024-10-26T09,1749
2024-10-26T08,1706
2024-10-26T07,1802
2024-10-26T06,1833
2024-10-26T05,1782
2024-10-26T04,2186
2024-10-26T03,2663
2024-10-26T02,2947
2024-10-26T01,3097
2024-10-26T00,3570
2024-10-25T23,3705
2024-10-25T22,3433
2024-10-25T21,2987
2024-10-25T20,2733
2024-10-25T19,2743
2024-10-25T18,2607
2024-10-25T17,2504
2024-10-25T16,2373
2024-10-25T15,2378
2024-10-25T14,2496
2024-10-25T13,3055
2024-10-25T12,3249
2024-10-25T11,2378
2024-10-25T10,2032
2024-10-25T09,1954
2024-10-25T08,1925
2024-10-25T07,1919
2024-10-25T06,1893
2024-10-25T05,1901
2024-10-25T04,2158
2024-10-25T03,2502
2024-10-25T02,2819
2024-10-25T01,3058
2024-10-25T00,3191
2024-10-24T23,3334
2024-10-24T22,3220
2024-10-24T21,2869
2024-10-24T20,2535
2024-10-24T19,2369
2024-10-24T18,2336
2024-10-24T17,2350
2024-10-24T16,2340
2024-10-24T15,2390
2024-10-24T14,2689
2024-10-24T13,3123
2024-10-24T12,3119
2024-10-24T11,2533
2024-10-24T10,2167
2024-10-24T09,2075
2024-10-24T08,2045
2024-10-24T07,2045
2024-10-24T06,2115
2024-10-24T05,2120
2024-10-24T04,2173
2024-10-24T03,2694
2024-10-24T02,3110
2024-10-24T01,3006
2024-10-24T00,3248
2024-10-23T23,3072
2024-10-23T22,3185
2024-10-23T21,3096
2024-10-23T20,2750
2024-10-23T19,2456
2024-10-23T18,2428
2024-10-23T17,2314
